Date,Open,High,Low,Close,Volume
2023-01-02,150.4799459032449,151.05389483107516,149.5454946916664,151.115746302461,3090212
2023-01-03,150.30539339340118,150.71247082039355,149.23997534571652,150.6689338131181,6230852
2023-01-04,150.35254212976076,151.18354345745485,149.80766451169137,151.107853131159,5171774
2023-01-05,152.39687154482473,152.77043998854998,151.6484489089652,151.7031417661716,1152999
2023-01-06,152.09202434042018,153.21657240769088,150.60549536348685,152.11192129776683,5542923
2023-01-09,152.29257811078068,152.47354535148781,150.42473417566677,151.80625494870088,9449975
2023-01-10,153.91027803191892,154.36863045227977,153.36366197221065,153.1595982977043,5600108
2023-01-11,153.49813347888062,155.41436000104625,154.2997563836038,154.85436568671372,3854190
2023-01-12,153.68727630265454,155.31884073066033,152.6846697059611,153.92980254355913,2284382
2023-01-13,154.73233094841603,154.55923539666978,153.02210046327468,153.64270354880287,8196042
2023-01-16,154.02346594133527,155.6160142219932,153.30519251065314,153.45755982807472,4853321
2023-01-17,154.2644433529815,154.80726444958665,152.36893201280103,153.91798119792404,3654837
2023-01-18,154.11081320540876,153.95694400606862,151.84419865349156,152.94568766115148,8684365
2023-01-19,151.20601455167593,153.62730294572665,150.19245089224546,152.58255952561063,2042377
2023-01-20,149.29636535980092,151.9969726660637,149.58717232269484,150.145520919028,5577033
2023-01-23,149.8777788921717,149.7150962554688,148.91078821957936,149.55411349041236,7105931
2023-01-24,147.63313183650789,149.13386451171905,146.63430120043162,148.76492478474367,4257181
2023-01-25,149.06590771056685,150.50675910760603,147.33830087188582,149.54371847987022,6262696
2023-01-26,148.86679295534861,149.48285185326603,146.44848206567485,147.68195088830308,6154048
2023-01-27,146.72497712691518,146.9430708098762,145.9178142583609,146.93006107628156,1923780
2023-01-30,147.816017392498,148.4583761867584,146.0790986155937,148.17114146807654,9361735
2023-01-31,148.10047767648314,148.5548454451812,146.0221184035676,147.34795777993727,2942811
2023-02-01,147.7979352252694,148.8504754146684,147.48126161503274,148.6386894169967,7507640
